code,category,value,areaName
E06000001,pop,92338,Hartlepool
E06000002,pop,143926,Middlesbrough
E06000003,pop,136531,Redcar and Cleveland
E06000004,pop,196595,Stockton-on-Tees
E06000005,pop,107799,Darlington
E06000006,pop,128478,Halton
E06000011,pop,342215,East Riding of Yorkshire
E06000012,pop,156966,North East Lincolnshire
E06000014,pop,202821,York
E06000015,pop,261364,Derby
E06000017,pop,41049,Rutland
E06000018,pop,323632,Nottingham
E06000019,pop,187034,Herefordshire
E06000020,pop,185541,Telford and Wrekin
E06000021,pop,258366,Stoke-on-Trent
E06000023,pop,472465,Bristol
E06000024,pop,216726,North Somerset
E06000026,pop,264695,Plymouth
E06000027,pop,139324,Torbay
E06000031,pop,215671,Peterborough
E06000032,pop,225262,Luton
E06000035,pop,279773,Medway
E06000036,pop,124607,Bracknell Forest
E06000037,pop,161448,West Berkshire
E06000038,pop,174224,Reading
E06000039,pop,158500,Slough
E06000040,pop,153496,Windsor and Maidenhead
E06000041,pop,177503,Wokingham
E06000042,pop,287060,Milton Keynes
E06000043,pop,277103,Brighton and Hove
E06000044,pop,208003,Portsmouth
E06000045,pop,248922,Southampton
E06000047,pop,522068,County Durham
E06000050,pop,357150,Cheshire West and Chester
E06000051,pop,323606,Shropshire
E06000053,pop,2053,Isles of Scilly
E06000054,pop,510333,Wiltshire
E06000055,pop,185225,Bedford
E06000056,pop,294252,Central Bedfordshire
E06000057,pop,320567,Northumberland
E06000058,pop,400196,Bournemouth Christchurch and Poole
E06000059,pop,379579,Dorset
E06000060,pop,553078,Buckinghamshire
E06000061,pop,359525,North Northamptonshire
E06000062,pop,425725,West Northamptonshire
E07000008,pop,145674,Cambridge
E07000009,pop,87762,East Cambridgeshire
E07000010,pop,102462,Fenland
E07000012,pop,162118,South Cambridgeshire
E07000026,pop,96157,Allerdale
E07000027,pop,67407,Barrow-in-Furness
E07000028,pop,110024,Carlisle
E07000029,pop,67076,Copeland
E07000030,pop,54735,Eden
E07000031,pop,104450,South Lakeland
E07000032,pop,126206,Amber Valley
E07000033,pop,80272,Bolsover
E07000034,pop,103569,Chesterfield
E07000035,pop,71540,Derbyshire Dales
E07000036,pop,112906,Erewash
E07000037,pop,90933,High Peak
E07000038,pop,102001,North East Derbyshire
E07000041,pop,130709,Exeter
E07000042,pop,82852,Mid Devon
E07000043,pop,98611,North Devon
E07000045,pop,134803,Teignbridge
E07000046,pop,68114,Torridge
E07000047,pop,57096,West Devon
E07000061,pop,101686,Eastbourne
E07000062,pop,90995,Hastings
E07000063,pop,99905,Lewes
E07000067,pop,155268,Braintree
E07000068,pop,77047,Brentwood
E07000069,pop,89587,Castle Point
E07000070,pop,181523,Chelmsford
E07000071,pop,192715,Colchester
E07000072,pop,134980,Epping Forest
E07000074,pop,66208,Maldon
E07000076,pop,148291,Tendring
E07000079,pop,90832,Cotswold
E07000080,pop,87004,Forest of Dean
E07000082,pop,121104,Stroud
E07000084,pop,185154,Basingstoke and Deane
E07000085,pop,125744,East Hampshire
E07000086,pop,136443,Eastleigh
E07000087,pop,114511,Fareham
E07000088,pop,81952,Gosport
E07000089,pop,99408,Hart
E07000091,pop,175785,New Forest
E07000092,pop,99756,Rushmoor
E07000093,pop,130492,Test Valley
E07000094,pop,127444,Winchester
E07000095,pop,99009,Broxbourne
E07000096,pop,155081,Dacorum
E07000098,pop,107827,Hertsmere
E07000099,pop,133210,North Hertfordshire
E07000102,pop,93771,Three Rivers
E07000106,pop,157432,Canterbury
E07000107,pop,116753,Dartford
E07000108,pop,116410,Dover
E07000109,pop,106900,Gravesham
E07000110,pop,175782,Maidstone
E07000111,pop,120514,Sevenoaks
E07000113,pop,151676,Swale
E07000114,pop,140587,Thanet
E07000115,pop,132201,Tonbridge and Malling
E07000116,pop,115311,Tunbridge Wells
E07000117,pop,94646,Burnley
E07000118,pop,117732,Chorley
E07000121,pop,142934,Lancaster
E07000122,pop,95757,Pendle
E07000123,pop,147835,Preston
E07000125,pop,70871,Rossendale
E07000126,pop,111035,South Ribble
E07000127,pop,117429,West Lancashire
E07000128,pop,111946,Wyre
E07000129,pop,102926,Blaby
E07000130,pop,183971,Charnwood
E07000131,pop,97625,Harborough
E07000132,pop,113642,Hinckley and Bosworth
E07000133,pop,51752,Melton
E07000134,pop,104706,North West Leicestershire
E07000135,pop,57747,Oadby and Wigston
E07000137,pop,142296,East Lindsey
E07000138,pop,103813,Lincoln
E07000139,pop,118075,North Kesteven
E07000140,pop,95122,South Holland
E07000141,pop,143404,South Kesteven
E07000143,pop,141476,Breckland
E07000144,pop,131721,Broadland
E07000145,pop,99748,Great Yarmouth
E07000146,pop,154325,Kings Lynn and West Norfolk
E07000148,pop,143922,Norwich
E07000149,pop,141948,South Norfolk
E07000163,pop,56927,Craven
E07000164,pop,90690,Hambleton
E07000165,pop,162666,Harrogate
E07000166,pop,49776,Richmondshire
E07000167,pop,54707,Ryedale
