Lower tier local authorities code,Lower tier local authorities label,LTLA of workplace code,LTLA of workplace label,Count
E09000001,City of London,E09000001,City of London,64
E09000001,City of London,E09000007,Camden,1
E09000001,City of London,E09000019,Islington,2
E09000001,City of London,E09000022,Lambeth,2
E09000001,City of London,E09000033,Westminster,8
E09000002,Barking and Dagenham,E09000001,City of London,2
E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,176
E09000002,Barking and Dagenham,E09000003,Barnet,1
E09000002,Barking and Dagenham,E09000006,Bromley,1
E09000002,Barking and Dagenham,E09000007,Camden,4
E09000002,Barking and Dagenham,E09000010,Enfield,2
E09000002,Barking and Dagenham,E09000011,Greenwich,3
E09000002,Barking and Dagenham,E09000012,Hackney,5
E09000002,Barking and Dagenham,E09000014,Haringey,3
E09000002,Barking and Dagenham,E09000015,Harrow,2
E09000002,Barking and Dagenham,E09000016,Havering,13
E09000002,Barking and Dagenham,E09000019,Islington,3
E09000002,Barking and Dagenham,E09000020,Kensington and Chelsea,5
E09000002,Barking and Dagenham,E09000022,Lambeth,3
E09000002,Barking and Dagenham,E09000025,Newham,10
E09000002,Barking and Dagenham,E09000026,Redbridge,9
E09000002,Barking and Dagenham,E09000028,Southwark,5
E09000002,Barking and Dagenham,E09000030,Tower Hamlets,8
E09000002,Barking and Dagenham,E09000031,Waltham Forest,7
E09000002,Barking and Dagenham,E09000032,Wandsworth,2
E09000002,Barking and Dagenham,E09000033,Westminster,8
E09000003,Barnet,E09000001,City of London,5
E09000003,Barnet,E09000003,Barnet,833
E09000003,Barnet,E09000004,Bexley,2
E09000003,Barnet,E09000005,Brent,18
E09000003,Barnet,E09000007,Camden,29
E09000003,Barnet,E09000008,Croydon,3
E09000003,Barnet,E09000009,Ealing,4
E09000003,Barnet,E09000010,Enfield,20
E09000003,Barnet,E09000012,Hackney,5
E09000003,Barnet,E09000013,Hammersmith and Fulham,2
E09000003,Barnet,E09000014,Haringey,9
E09000003,Barnet,E09000015,Harrow,12
E09000003,Barnet,E09000016,Havering,1
E09000003,Barnet,E09000017,Hillingdon,2
E09000003,Barnet,E09000019,Islington,9
E09000003,Barnet,E09000020,Kensington and Chelsea,10
E09000003,Barnet,E09000022,Lambeth,3
E09000003,Barnet,E09000024,Merton,8
E09000003,Barnet,E09000025,Newham,1
E09000003,Barnet,E09000026,Redbridge,2
E09000003,Barnet,E09000028,Southwark,4
E09000003,Barnet,E09000029,Sutton,1
E09000003,Barnet,E09000030,Tower Hamlets,2
E09000003,Barnet,E09000031,Waltham Forest,5
E09000003,Barnet,E09000032,Wandsworth,3
E09000003,Barnet,E09000033,Westminster,29
E09000004,Bexley,E09000001,City of London,1
E09000004,Bexley,E09000004,Bexley,221
E09000004,Bexley,E09000005,Brent,1
E09000004,Bexley,E09000006,Bromley,8
E09000004,Bexley,E09000007,Camden,5
E09000004,Bexley,E09000008,Croydon,2
E09000004,Bexley,E09000011,Greenwich,21
E09000004,Bexley,E09000013,Hammersmith and Fulham,2
E09000004,Bexley,E09000014,Haringey,1
E09000004,Bexley,E09000015,Harrow,2
E09000004,Bexley,E09000016,Havering,1
E09000004,Bexley,E09000017,Hillingdon,1
E09000004,Bexley,E09000020,Kensington and Chelsea,4
E09000004,Bexley,E09000021,Kingston upon Thames,3
E09000004,Bexley,E09000023,Lewisham,4
E09000004,Bexley,E09000025,Newham,3
E09000004,Bexley,E09000026,Redbridge,3
E09000004,Bexley,E09000027,Richmond upon Thames,1
E09000004,Bexley,E09000028,Southwark,8
E09000004,Bexley,E09000030,Tower Hamlets,5
E09000004,Bexley,E09000031,Waltham Forest,1
E09000004,Bexley,E09000032,Wandsworth,3
E09000004,Bexley,E09000033,Westminster,7
E09000005,Brent,E09000001,City of London,3
E09000005,Brent,E09000003,Barnet,22
E09000005,Brent,E09000005,Brent,570
E09000005,Brent,E09000006,Bromley,1
E09000005,Brent,E09000007,Camden,21
E09000005,Brent,E09000008,Croydon,1
E09000005,Brent,E09000009,Ealing,12
E09000005,Brent,E09000012,Hackney,2
E09000005,Brent,E09000013,Hammersmith and Fulham,9
E09000005,Brent,E09000014,Haringey,3
E09000005,Brent,E09000015,Harrow,6
E09000005,Brent,E09000017,Hillingdon,13
E09000005,Brent,E09000018,Hounslow,1
E09000005,Brent,E09000019,Islington,10
E09000005,Brent,E09000020,Kensington and Chelsea,19
E09000005,Brent,E09000022,Lambeth,11
E09000005,Brent,E09000025,Newham,1
E09000005,Brent,E09000026,Redbridge,2
E09000005,Brent,E09000027,Richmond upon Thames,2
E09000005,Brent,E09000028,Southwark,1
E09000005,Brent,E09000029,Sutton,10
E09000005,Brent,E09000030,Tower Hamlets,4
E09000005,Brent,E09000032,Wandsworth,5
E09000005,Brent,E09000033,Westminster,45
E09000006,Bromley,E09000001,City of London,5
E09000006,Bromley,E09000004,Bexley,3
E09000006,Bromley,E09000005,Brent,3
E09000006,Bromley,E09000006,Bromley,465
E09000006,Bromley,E09000007,Camden,7
E09000006,Bromley,E09000008,Croydon,7
E09000006,Bromley,E09000010,Enfield,2
E09000006,Bromley,E09000011,Greenwich,8
E09000006,Bromley,E09000012,Hackney,1
E09000006,Bromley,E09000013,Hammersmith and Fulham,2
E09000006,Bromley,E09000014,Haringey,2
E09000006,Bromley,E09000017,Hillingdon,1
E09000006,Bromley,E09000019,Islington,2
E09000006,Bromley,E09000020,Kensington and Chelsea,5
E09000006,Bromley,E09000022,Lambeth,14
E09000006,Bromley,E09000023,Lewisham,11
E09000006,Bromley,E09000024,Merton,2
E09000006,Bromley,E09000026,Redbridge,1
E09000006,Bromley,E09000028,Southwark,1
E09000006,Bromley,E09000029,Sutton,1
E09000006,Bromley,E09000030,Tower Hamlets,5
E09000006,Bromley,E09000031,Waltham Forest,1
E09000006,Bromley,E09000032,Wandsworth,2
E09000006,Bromley,E09000033,Westminster,8
E09000007,Camden,E09000001,City of London,14
E09000007,Camden,E09000003,Barnet,3
E09000007,Camden,E09000004,Bexley,1
E09000007,Camden,E09000005,Brent,5
E09000007,Camden,E09000007,Camden,899
E09000007,Camden,E09000009,Ealing,4
E09000007,Camden,E09000012,Hackney,1
E09000007,Camden,E09000013,Hammersmith and Fulham,2
E09000007,Camden,E09000014,Haringey,3
E09000007,Camden,E09000015,Harrow,1
E09000007,Camden,E09000016,Havering,2
E09000007,Camden,E09000017,Hillingdon,2
E09000007,Camden,E09000019,Islington,5
E09000007,Camden,E09000020,Kensington and Chelsea,10
E09000007,Camden,E09000021,Kingston upon Thames,2
E09000007,Camden,E09000022,Lambeth,7
E09000007,Camden,E09000024,Merton,1
